gear_ratio,vehicle_speed_kmh,road_grade_deg,motor_rpm,motor_torque_nm,wheel_torque_nm,tractive_force_n,rolling_resistance_n,aerodynamic_drag_n,grade_resistance_n,acceleration_mps2,theoretical_vehicle_speed_kmh
3.0,20,0,2000,450.0,1282.5,4007.8125,211.896,11.6451,0.0,2.102373,80.4248
3.0,20,0,4000,427.5,1218.375,3807.4219,211.896,11.6451,0.0,1.991045,160.8495
3.0,20,0,6000,382.5,1090.125,3406.6406,211.896,11.6451,0.0,1.768389,241.2743
3.0,20,0,8000,337.5,961.875,3005.8594,211.896,11.6451,0.0,1.545732,321.6991
3.0,20,2,2000,450.0,1282.5,4007.8125,211.896,11.6451,616.2553,1.760009,80.4248
3.0,20,2,4000,427.5,1218.375,3807.4219,211.896,11.6451,616.2553,1.648681,160.8495
3.0,20,2,6000,382.5,1090.125,3406.6406,211.896,11.6451,616.2553,1.426025,241.2743
3.0,20,2,8000,337.5,961.875,3005.8594,211.896,11.6451,616.2553,1.203368,321.6991
3.0,20,5,2000,450.0,1282.5,4007.8125,211.896,11.6451,1538.9961,1.247375,80.4248
3.0,20,5,4000,427.5,1218.375,3807.4219,211.896,11.6451,1538.9961,1.136047,160.8495
3.0,20,5,6000,382.5,1090.125,3406.6406,211.896,11.6451,1538.9961,0.913391,241.2743
3.0,20,5,8000,337.5,961.875,3005.8594,211.896,11.6451,1538.9961,0.690735,321.6991
3.0,20,8,2000,450.0,1282.5,4007.8125,211.896,11.6451,2457.5186,0.737085,80.4248
3.0,20,8,4000,427.5,1218.375,3807.4219,211.896,11.6451,2457.5186,0.625757,160.8495
3.0,20,8,6000,382.5,1090.125,3406.6406,211.896,11.6451,2457.5186,0.403101,241.2743
3.0,20,8,8000,337.5,961.875,3005.8594,211.896,11.6451,2457.5186,0.180444,321.6991
3.0,20,10,2000,450.0,1282.5,4007.8125,211.896,11.6451,3066.2795,0.398884,80.4248
3.0,20,10,4000,427.5,1218.375,3807.4219,211.896,11.6451,3066.2795,0.287556,160.8495
3.0,20,10,6000,382.5,1090.125,3406.6406,211.896,11.6451,3066.2795,0.0649,241.2743
3.0,20,10,8000,337.5,961.875,3005.8594,211.896,11.6451,3066.2795,-0.157756,321.6991
3.0,40,0,2000,450.0,1282.5,4007.8125,211.896,46.5802,0.0,2.082965,80.4248
3.0,40,0,4000,427.5,1218.375,3807.4219,211.896,46.5802,0.0,1.971636,160.8495
3.0,40,0,6000,382.5,1090.125,3406.6406,211.896,46.5802,0.0,1.74898,241.2743
3.0,40,0,8000,337.5,961.875,3005.8594,211.896,46.5802,0.0,1.526324,321.6991
